name,artists,year,country,label,have,total.want,total.averageValue,format,price,info3,info2,info4,info5,info6,info
"
                
                                            
        
            David Bowie
                
                ‎–
                
                                            ★ (Blackstar)
                                    
            ",David Bowie,2016,UK & Europe,"ISO Records, Columbia, Sony Music",20564,5754,4.65,"(CD, Album)",$5.00,Electronic,2016,ISO Records,NA,NA,Experimental
"
                
                                            
        
            Radiohead
                
                ‎–
                
                                            A Moon Shaped Pool
                                    
            ",Radiohead,2016,UK & Europe,XL Recordings,15478,2339,4.58,"(CD, Album)",$2.50,Electronic,2016,Optimal Media GmbH,NA,NA,Art Rock
"
                
                                            
        
            A Tribe Called Quest
                
                ‎–
                
                                            We Got It From Here... Thank You 4 Your Service
                                    
            ",A Tribe Called Quest,2016,US,Epic,2883,1893,4.67,"(16xFile, AAC, Album, 256)",$8.00,Hip Hop,2016,NA,NA,NA,Conscious
"
                
                                            
        
            The 1975
                
                ‎–
                
                                            I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It
                                    
            ",The 1975,2016,Europe,"Polydor, Dirty Hit",1888,1559,4.47,"(CD, Album)",$5.32,Electronic,2016,NA,NA,NA,Indie Rock
"
                
                                            
        
            Mall Grab
                
                ‎–
                
                                            Sun Ra EP
                                    
            ",Mall Grab,2016,UK,Church,1508,1459,4.64,"(12"", EP, Gre)",$22.00,Church,"
                UK
            ","
                06 Apr 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Kanye West
                
                ‎–
                
                                            The Life Of Pablo
                                    
            ",Kanye West,2016,US,"G.O.O.D. MUSIC, Def Jam Recordings",989,1501,3.79,"(18xFile, FLAC, Album)",$35.01,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Frank Ocean
                
                ‎–
                
                                            Blonde
                                    
            ",Frank Ocean,2016,,Boys Don't Cry,1215,1519,4.71,"(17xFile, AAC, Album, 256)",$30.33,Hip Hop,2016,NA,NA,NA,Contemporary R&B
"
                
                                            
        
            Mall Grab
                
                ‎–
                
                                            Sun Ra EP
                                    
            ",Mall Grab,2016,UK,Church,1646,1792,4.63,"(12"", EP, Gre)",$21.23,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            Kendrick Lamar
                
                ‎–
                
                                            Untitled Unmastered.
                                    
            ",Kendrick Lamar,2016,US,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records",3771,1441,4.39,"(CD, Album)",$8.02,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Convextion
                
                ‎–
                
                                            2845
                                    
            ",Convextion,2016,Germany,a.r.t.less,1092,1681,4.79,"(2x12"", Album)",$23.40,Electronic,2016,NA,NA,NA,Techno
"
                
                                            
        
            Kyle Dixon (2),                     
        
            Michael Stein (9)
                
                ‎–
                
                                            Stranger Things - Volume One (A Netflix Original Series)
                                    
            ",Kyle Dixon (2),2016,US,Lakeshore Records,3768,1407,4.59,"(CD, Album)",$9.00,Stage & Screen,2016,VHS Black,NA,NA,Soundtrack
"
                
                                            
        
            Anderson .Paak
                
                ‎–
                
                                            Malibu
                                    
            ",Anderson .Paak,2016,US,OBE,2207,1493,4.66,"(CD, Album, Dig)",$10.00,Hip Hop,2016,NA,NA,NA,NA
